--- Starting Evaluation ---

Title	Install AIDE
Result	notapplicable

Title	Add nosuid Option to /home
Rule	xccdf_org.ssgproject.content_rule_mount_option_home_nosuid
Result	notapplicable

Title	Add nodev Option to /tmp
Rule	xccdf_org.ssgproject.content_rule_mount_option_tmp_nodev
Result	notapplicable

Title	Add noexec Option to /tmp
Rule	xccdf_org.ssgproject.content_rule_mount_option_tmp_noexec
Result	notapplicable

Title	Add nosuid Option to /tmp
Rule	xccdf_org.ssgproject.content_rule_mount_option_tmp_nosuid
Result	notapplicable

Title	Add nodev Option to /var/log/audit
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_log_audit_nodev
Result	notapplicable

Title	Add noexec Option to /var/log/audit
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_log_audit_noexec
Result	notapplicable

Title	Add nosuid Option to /var/log/audit
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_log_audit_nosuid
Result	notapplicable

Title	Add nodev Option to /var/log
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_log_nodev
Result	notapplicable

Title	Add noexec Option to /var/log
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_log_noexec
Result	notapplicable

Title	Add nosuid Option to /var/log
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_log_nosuid
Result	notapplicable

Title	Add nodev Option to /var
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_nodev
Result	notapplicable

Title	Add nosuid Option to /var
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_nosuid
Result	notapplicable

Title	Add nodev Option to /var/tmp
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_tmp_nodev
Result	notapplicable

Title	Add noexec Option to /var/tmp
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_tmp_noexec
Result	notapplicable

Title	Add nosuid Option to /var/tmp
Rule	xccdf_org.ssgproject.content_rule_mount_option_var_tmp_nosuid
Result	notapplicable

Title	Restrict Access to Kernel Message Buffer
Rule	xccdf_org.ssgproject.content_rule_sysctl_kernel_dmesg_restrict
Result	fail

Title	Restrict usage of ptrace to descendant processes
Rule	xccdf_org.ssgproject.content_rule_sysctl_kernel_yama_ptrace_scope
Result	fail

Title	Disable core dump backtraces
Rule	xccdf_org.ssgproject.content_rule_coredump_disable_backtraces
Result	fail

Title	Disable storing core dump
Rule	xccdf_org.ssgproject.content_rule_coredump_disable_storage
Result	fail

Title	Disable Core Dumps for All Users
Rule	xccdf_org.ssgproject.content_rule_disable_users_coredumps
Result	fail

Title	Disable Core Dumps for SUID programs
Rule	xccdf_org.ssgproject.content_rule_sysctl_fs_suid_dumpable
Result	fail

Title	Restrict Exposed Kernel Pointer Addresses Access
Rule	xccdf_org.ssgproject.content_rule_sysctl_kernel_kptr_restrict
Result	pass

Title	Enable Randomized Layout of Virtual Address Space
Rule	xccdf_org.ssgproject.content_rule_sysctl_kernel_randomize_va_space
Result	fail

Title	Install libselinux Package
Rule	xccdf_org.ssgproject.content_rule_package_libselinux_installed
Result	pass

Title	Uninstall mcstrans Package
Rule	xccdf_org.ssgproject.content_rule_package_mcstrans_removed
Result	pass

Title	Uninstall setroubleshoot Package
Rule	xccdf_org.ssgproject.content_rule_package_setroubleshoot_removed
Result	pass

Title	Ensure SELinux Not Disabled in /etc/default/grub
Rule	xccdf_org.ssgproject.content_rule_grub2_enable_selinux
Result	pass

Title	Ensure SELinux is Not Disabled
Rule	xccdf_org.ssgproject.content_rule_selinux_not_disabled
Result	pass

Title	Configure SELinux Policy
Rule	xccdf_org.ssgproject.content_rule_selinux_policytype
Result	pass

Title	Disable Avahi Server Software
Rule	xccdf_org.ssgproject.content_rule_service_avahi-daemon_disabled
Result	fail

Title	Install the cron service
Rule	xccdf_org.ssgproject.content_rule_package_cron_installed
Result	fail

Title	Enable cron Service
Rule	xccdf_org.ssgproject.content_rule_service_crond_enabled
Result	pass

Title	Verify Group Who Owns cron.d
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_cron_d
Result	pass

Title	Verify Group Who Owns cron.daily
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_cron_daily
Result	pass

Title	Verify Group Who Owns cron.hourly
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_cron_hourly
Result	pass

Title	Verify Group Who Owns cron.monthly
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_cron_monthly
Result	pass

Title	Verify Group Who Owns cron.weekly
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_cron_weekly
Result	pass

Title	Verify Group Who Owns cron.yearly
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_cron_yearly
Result	pass

Title	Verify Group Who Owns Crontab
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_crontab
Result	pass

Title	Verify Owner on cron.d
Rule	xccdf_org.ssgproject.content_rule_file_owner_cron_d
Result	pass

Title	Verify Owner on cron.daily
Rule	xccdf_org.ssgproject.content_rule_file_owner_cron_daily
Result	pass

Title	Verify Owner on cron.hourly
Rule	xccdf_org.ssgproject.content_rule_file_owner_cron_hourly
Result	pass

Title	Verify Owner on cron.monthly
Rule	xccdf_org.ssgproject.content_rule_file_owner_cron_monthly
Result	pass

Title	Verify Owner on cron.weekly
Rule	xccdf_org.ssgproject.content_rule_file_owner_cron_weekly
Result	pass

Title	Verify Owner on cron.yearly
Rule	xccdf_org.ssgproject.content_rule_file_owner_cron_yearly
Result	pass

Title	Verify Owner on crontab
Rule	xccdf_org.ssgproject.content_rule_file_owner_crontab
Result	pass

Title	Verify Permissions on cron.d
Rule	xccdf_org.ssgproject.content_rule_file_permissions_cron_d
Result	fail

Title	Verify Permissions on cron.daily
Rule	xccdf_org.ssgproject.content_rule_file_permissions_cron_daily
Result	fail

Title	Verify Permissions on cron.hourly
Rule	xccdf_org.ssgproject.content_rule_file_permissions_cron_hourly
Result	fail

Title	Verify Permissions on cron.monthly
Rule	xccdf_org.ssgproject.content_rule_file_permissions_cron_monthly
Result	fail

Title	Verify Permissions on cron.weekly
Rule	xccdf_org.ssgproject.content_rule_file_permissions_cron_weekly
Result	fail

Title	Verify Permissions on cron.yearly
Rule	xccdf_org.ssgproject.content_rule_file_permissions_cron_yearly
Result	pass

Title	Verify Permissions on crontab
Rule	xccdf_org.ssgproject.content_rule_file_permissions_crontab
Result	fail

Title	Ensure that /etc/at.allow exists
Rule	xccdf_org.ssgproject.content_rule_file_at_allow_exists
Result	fail

Title	Ensure that /etc/at.deny does not exist
Rule	xccdf_org.ssgproject.content_rule_file_at_deny_not_exist
Result	fail

Title	Ensure that /etc/cron.allow exists
Rule	xccdf_org.ssgproject.content_rule_file_cron_allow_exists
Result	fail

Title	Ensure that /etc/cron.deny does not exist
Rule	xccdf_org.ssgproject.content_rule_file_cron_deny_not_exist
Result	fail

Title	Verify Group Who Owns /etc/at.allow file
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_at_allow
Result	pass

Title	Verify Group Who Owns /etc/cron.allow file
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_cron_allow
Result	pass

Title	Verify User Who Owns /etc/at.allow file
Rule	xccdf_org.ssgproject.content_rule_file_owner_at_allow
Result	pass

Title	Verify User Who Owns /etc/cron.allow file
Rule	xccdf_org.ssgproject.content_rule_file_owner_cron_allow
Result	pass

Title	Verify Permissions on /etc/at.allow file
Rule	xccdf_org.ssgproject.content_rule_file_permissions_at_allow
Result	pass

Title	Verify Permissions on /etc/cron.allow file
Rule	xccdf_org.ssgproject.content_rule_file_permissions_cron_allow
Result	pass

Title	Uninstall kea Package
Rule	xccdf_org.ssgproject.content_rule_package_kea_removed
Result	pass

Title	Disable dnsmasq Service
Rule	xccdf_org.ssgproject.content_rule_service_dnsmasq_disabled
Result	fail

Title	Uninstall bind Package
Rule	xccdf_org.ssgproject.content_rule_package_bind_removed
Result	pass

Title	Remove ftp Package
Rule	xccdf_org.ssgproject.content_rule_package_ftp_removed
Result	pass

Title	Uninstall vsftpd Package
Rule	xccdf_org.ssgproject.content_rule_package_vsftpd_removed
Result	pass

Title	Uninstall httpd Package
Rule	xccdf_org.ssgproject.content_rule_package_httpd_removed
Result	pass

Title	Uninstall nginx Package
Rule	xccdf_org.ssgproject.content_rule_package_nginx_removed
Result	pass

Title	Uninstall cyrus-imapd Package
Rule	xccdf_org.ssgproject.content_rule_package_cyrus-imapd_removed
Result	pass

Title	Uninstall dovecot Package
Rule	xccdf_org.ssgproject.content_rule_package_dovecot_removed
Result	pass

Title	Ensure Mail Transfer Agent is not Listening on any non-loopback Address
Rule	xccdf_org.ssgproject.content_rule_has_nonlocal_mta
Result	pass

Title	Disable Postfix Network Listening
Rule	xccdf_org.ssgproject.content_rule_postfix_network_listening_disabled
Result	notapplicable

Title	Disable rpcbind Service
Rule	xccdf_org.ssgproject.content_rule_service_rpcbind_disabled
Result	pass

Title	Disable Network File System (nfs)
Rule	xccdf_org.ssgproject.content_rule_service_nfs_disabled
Result	pass

Title	A remote time server for Chrony is configured
Rule	xccdf_org.ssgproject.content_rule_chronyd_specify_remote_server
Result	pass

Title	Ensure that chronyd is running under chrony user account
Rule	xccdf_org.ssgproject.content_rule_chronyd_run_as_chrony_user
Result	fail

Title	Uninstall rsync Package
Rule	xccdf_org.ssgproject.content_rule_package_rsync_removed
Result	fail

Title	Uninstall telnet-server Package
Rule	xccdf_org.ssgproject.content_rule_package_telnet-server_removed
Result	pass

Title	Remove telnet Clients
Rule	xccdf_org.ssgproject.content_rule_package_telnet_removed
Result	pass

Title	Uninstall tftp-server Package
Rule	xccdf_org.ssgproject.content_rule_package_tftp-server_removed
Result	pass

Title	Remove tftp Daemon
Rule	xccdf_org.ssgproject.content_rule_package_tftp_removed
Result	pass

Title	Disable the CUPS Service
Rule	xccdf_org.ssgproject.content_rule_service_cups_disabled
Result	fail

Title	Uninstall squid Package
Rule	xccdf_org.ssgproject.content_rule_package_squid_removed
Result	pass

Title	Uninstall Samba Package
Rule	xccdf_org.ssgproject.content_rule_package_samba_removed
Result	pass

Title	Uninstall net-snmp Package
Rule	xccdf_org.ssgproject.content_rule_package_net-snmp_removed
Result	pass

Title	Verify Group Who Owns SSH Server Configuration Files
Rule	xccdf_org.ssgproject.content_rule_directory_groupowner_sshd_config_d
Result	pass

Title	Verify Owner on SSH Server Configuration Files
Rule	xccdf_org.ssgproject.content_rule_directory_owner_sshd_config_d
Result	pass

Title	Verify Permissions on SSH Server Config File
Rule	xccdf_org.ssgproject.content_rule_directory_permissions_sshd_config_d
Result	pass

Title	Verify Group Who Owns SSH Server config file
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_sshd_config
Result	pass

Title	Verify Group Who Owns SSH Server Configuration Files
Rule	xccdf_org.ssgproject.content_rule_file_groupowner_sshd_drop_in_config
Result	pass

Title	Verify Group Ownership on SSH Server Private *_key Key Files
Rule	xccdf_org.ssgproject.content_rule_file_groupownership_sshd_private_key
Result	pass

Title	Verify Group Ownership on SSH Server Public *.pub Key Files
Rule	xccdf_org.ssgproject.content_rule_file_groupownership_sshd_pub_key
Result	pass

Title	Verify Owner on SSH Server config file
Rule	xccdf_org.ssgproject.content_rule_file_owner_sshd_config
Result	pass

Title	Verify Owner on SSH Server Configuration Files
Rule	xccdf_org.ssgproject.content_rule_file_owner_sshd_drop_in_config
Result	pass

Title	Verify Ownership on SSH Server Private *_key Key Files
Rule	xccdf_org.ssgproject.content_rule_file_ownership_sshd_private_key
Result	pass

Title	Verify Ownership on SSH Server Public *.pub Key Files
Rule	xccdf_org.ssgproject.content_rule_file_ownership_sshd_pub_key
Result	pass

Title	Verify Permissions on SSH Server config file
Rule	xccdf_org.ssgproject.content_rule_file_permissions_sshd_config
Result	pass

Title	Verify Permissions on SSH Server Config File
Rule	xccdf_org.ssgproject.content_rule_file_permissions_sshd_drop_in_config
Result	fail

Title	Verify Permissions on SSH Server Private *_key Key Files
Rule	xccdf_org.ssgproject.content_rule_file_permissions_sshd_private_key
Result	pass

Title	Verify Permissions on SSH Server Public *.pub Key Files
Rule	xccdf_org.ssgproject.content_rule_file_permissions_sshd_pub_key
Result	pass

Title	Set SSH Client Alive Count Max
Rule	xccdf_org.ssgproject.content_rule_sshd_set_keepalive
Result	fail

Title	Set SSH Client Alive Interval
Rule	xccdf_org.ssgproject.content_rule_sshd_set_idle_timeout
Result	fail

Title	Disable Host-Based Authentication
Rule	xccdf_org.ssgproject.content_rule_disable_host_auth
Result	fail

Title	Disable SSH Access via Empty Passwords
Rule	xccdf_org.ssgproject.content_rule_sshd_disable_empty_passwords
Result	fail

Title	Disable SSH Support for .rhosts Files
Rule	xccdf_org.ssgproject.content_rule_sshd_disable_rhosts
Result	fail

Title	Disable SSH Root Login
Rule	xccdf_org.ssgproject.content_rule_sshd_disable_root_login
Result	fail

Title	Do Not Allow SSH Environment Options
Rule	xccdf_org.ssgproject.content_rule_sshd_do_not_permit_user_env
Result	fail

Title	Enable PAM
Rule	xccdf_org.ssgproject.content_rule_sshd_enable_pam
Result	pass

Title	Enable SSH Warning Banner
Rule	xccdf_org.ssgproject.content_rule_sshd_enable_warning_banner_net
Result	fail

Title	Limit Users' SSH Access
Rule	xccdf_org.ssgproject.content_rule_sshd_limit_user_access
Result	fail

Title	Ensure SSH LoginGraceTime is configured
Rule	xccdf_org.ssgproject.content_rule_sshd_set_login_grace_time
Result	fail

Title	Set SSH Daemon LogLevel to VERBOSE
Rule	xccdf_org.ssgproject.content_rule_sshd_set_loglevel_verbose
Result	fail

Title	Set SSH authentication attempt limit
Rule	xccdf_org.ssgproject.content_rule_sshd_set_max_auth_tries
Result	fail

Title	Set SSH MaxSessions limit
Rule	xccdf_org.ssgproject.content_rule_sshd_set_max_sessions
Result	fail

Title	Ensure SSH MaxStartups is configured
Rule	xccdf_org.ssgproject.content_rule_sshd_set_maxstartups
Result	fail

